Image ID,Class,Confidence,Bounding Box
2,Healthy,0.9544200897216797,"[[0.0, 0.0, 638.6103515625, 640.0]]"
3,Healthy,0.8790140748023987,"[[59.51860809326172, 46.52824401855469, 619.6470947265625, 595.002685546875]]"
4,Healthy,0.6037136316299438,"[[91.39472198486328, 13.794411659240723, 584.6580810546875, 574.5667114257812]]"
5,Healthy,0.9617059230804443,"[[0.8442238569259644, 0.017520679160952568, 639.2781372070312, 636.3720092773438]]"
6,Healthy,0.9131653308868408,"[[37.74694061279297, 17.40237808227539, 527.2027587890625, 550.0256958007812]]"
7,Healthy,0.9322607517242432,"[[0.4337086081504822, 0.0, 640.0, 620.56494140625]]"
9,Healthy,0.9523833990097046,"[[60.88421630859375, 20.94094467163086, 637.3040771484375, 637.1162109375]]"
11,Healthy,0.9268607497215271,"[[16.37364959716797, 15.636775016784668, 638.5281982421875, 610.2847290039062]]"
12,Healthy,0.6407597661018372,"[[98.61153411865234, 9.178609848022461, 525.7891235351562, 618.1724243164062]]"
13,Healthy,0.901745080947876,"[[80.58290100097656, 27.450864791870117, 573.52392578125, 591.9130249023438]]"
14,Healthy,0.9242490530014038,"[[20.80031394958496, 20.083221435546875, 405.6824951171875, 532.513671875]]"
15,Healthy,0.5206591486930847,"[[260.076171875, 214.2686767578125, 486.2073059082031, 420.0271301269531]]"
16,Healthy,0.9527010321617126,"[[1.1269242763519287, 7.454402923583984, 639.0479736328125, 509.0078125]]"
17,Healthy,0.9179921746253967,"[[30.75337028503418, 11.279295921325684, 590.3680419921875, 614.0262451171875]]"
18,Healthy,0.9373598694801331,"[[116.09130096435547, 32.82621383666992, 566.6143798828125, 553.6339111328125]]"
19,Healthy,0.8918315172195435,"[[138.16229248046875, 47.31396484375, 582.4048461914062, 555.4623413085938]]"
20,Healthy,0.9535395503044128,"[[16.714080810546875, 2.743781328201294, 638.7538452148438, 625.37060546875]]"
22,Healthy,0.8266167640686035,"[[0.8484604358673096, 0.0, 526.2058715820312, 639.8143920898438]]"
23,Tomato Yellow Leaf Curl Virus,0.8663092851638794,"[[145.4461212158203, 4.797721862792969, 583.6256103515625, 533.674560546875]]"
24,Healthy,0.640143871307373,"[[71.00230407714844, 70.38504028320312, 522.7206420898438, 578.051025390625]]"
25,Tomato Yellow Leaf Curl Virus,0.6432217955589294,"[[38.79204177856445, 3.9491539001464844, 594.744873046875, 586.8696899414062]]"
27,Healthy,0.8919233679771423,"[[111.03131103515625, 1.6973336935043335, 589.6459350585938, 603.8695678710938]]"
28,Healthy,0.9102609157562256,"[[95.44979095458984, 62.662315368652344, 580.124267578125, 599.580322265625]]"
29,Healthy,0.9108732342720032,"[[70.56611633300781, 7.584156036376953, 617.1845703125, 562.4497680664062]]"
30,Healthy,0.9531755447387695,"[[4.113266468048096, 2.7161359786987305, 636.3203735351562, 631.5021362304688]]"
32,Healthy,0.6451666951179504,"[[81.91341400146484, 34.76698684692383, 601.6454467773438, 627.5726318359375]]"
33,Healthy,0.9282318949699402,"[[92.38792419433594, 5.432846546173096, 594.4840087890625, 634.9070434570312]]"
35,Healthy,0.9094149470329285,"[[42.63334274291992, 0.0, 590.0075073242188, 599.644287109375]]"
37,Healthy,0.918864369392395,"[[77.7681884765625, 0.37209901213645935, 607.8494873046875, 624.7476196289062]]"
38,Healthy,0.9008755683898926,"[[62.770668029785156, 0.5844295620918274, 564.4532470703125, 635.509521484375]]"
41,Healthy,0.8501019477844238,"[[35.71866989135742, 69.69043731689453, 550.4793701171875, 552.8232421875]]"
42,Spider Mites,0.615513026714325,"[[143.53070068359375, 12.774585723876953, 518.4645385742188, 513.018310546875]]"
43,Healthy,0.7524653077125549,"[[46.43690872192383, 5.746962070465088, 588.361083984375, 583.0844116210938]]"
44,Healthy,0.9283789992332458,"[[8.638340950012207, 3.7610578536987305, 603.8543701171875, 604.9963989257812]]"
45,Healthy,0.849574089050293,"[[19.072839736938477, 21.853313446044922, 615.5819091796875, 604.4623413085938]]"
46,Spider Mites,0.9616111516952515,"[[186.36329650878906, 106.9511947631836, 535.2093505859375, 535.0255737304688]]"
47,Healthy,0.6292109489440918,"[[47.05056381225586, 0.0, 633.3442993164062, 544.6571044921875]]"
48,Spider Mites,0.9412468075752258,"[[114.40045166015625, 84.49877166748047, 475.3320617675781, 573.1488037109375]]"
50,Healthy,0.925307035446167,"[[26.684856414794922, 1.1720185279846191, 635.0735473632812, 622.44970703125]]"
51,Healthy,0.9306424260139465,"[[80.4683837890625, 8.529411315917969, 632.9629516601562, 571.3097534179688]]"
52,Healthy,0.9335769414901733,"[[95.66865539550781, 1.4145793914794922, 619.068359375, 605.0328369140625]]"
53,Healthy,0.9070284366607666,"[[32.02302551269531, 27.046436309814453, 596.9371337890625, 563.5637817382812]]"
54,Spider Mites,0.8262584805488586,"[[61.77077102661133, 36.110748291015625, 555.0147094726562, 611.5469970703125]]"
55,Healthy,0.9386297464370728,"[[32.52574157714844, 13.916553497314453, 565.1110229492188, 583.9830932617188]]"
56,Healthy,0.9196168780326843,"[[33.10945129394531, 3.0480237007141113, 538.0369262695312, 621.5594482421875]]"
57,Healthy,0.9117295145988464,"[[6.1341047286987305, 1.506168007850647, 639.7967529296875, 498.6968688964844]]"
58,Healthy,0.9232484698295593,"[[58.69736099243164, 4.739235877990723, 618.2329711914062, 578.9443359375]]"
59,Healthy,0.5291091799736023,"[[61.403804779052734, 17.570674896240234, 631.1089477539062, 610.5343627929688]]"
60,Healthy,0.7082685232162476,"[[106.38117980957031, 0.6690170764923096, 596.8028564453125, 560.5638427734375]]"
61,Healthy,0.8002501130104065,"[[1.3439581394195557, 18.58387565612793, 557.3604736328125, 561.7758178710938]]"
62,Tomato Yellow Leaf Curl Virus,0.8880406618118286,"[[88.04625701904297, 25.599937438964844, 530.6204223632812, 603.4536743164062]]"
63,Healthy,0.7702122330665588,"[[74.12360382080078, 1.8304083347320557, 611.6641235351562, 572.2463989257812]]"
64,Healthy,0.9093313217163086,"[[74.33155059814453, 11.3633451461792, 623.4179077148438, 585.2208862304688]]"
65,Healthy,0.8955629467964172,"[[17.563045501708984, 9.510856628417969, 574.1748046875, 520.6493530273438]]"
66,Spider Mites,0.8750075101852417,"[[77.56587982177734, 98.54658508300781, 498.1659240722656, 558.8502807617188]]"
68,Tomato Mosaic Virus,0.7622153162956238,"[[250.4225616455078, 151.77674865722656, 329.9040832519531, 358.4023132324219]]"
68,Tomato Mosaic Virus,0.7143833041191101,"[[175.72621154785156, 255.9503173828125, 259.3462219238281, 355.8656311035156]]"
69,Healthy,0.7933186888694763,"[[101.31304168701172, 13.7473783493042, 561.1203002929688, 573.0665283203125]]"
71,Healthy,0.7062167525291443,"[[75.7212142944336, 15.301297187805176, 572.2687377929688, 615.550048828125]]"
72,Healthy,0.7182855010032654,"[[130.79086303710938, 28.716842651367188, 576.4154052734375, 576.6944580078125]]"
73,Healthy,0.9087860584259033,"[[21.912769317626953, 1.9969265460968018, 634.9785766601562, 640.0]]"
76,Healthy,0.5614855885505676,"[[16.568817138671875, 51.53479766845703, 634.2798461914062, 570.0977783203125]]"
77,Healthy,0.926155686378479,"[[16.055477142333984, 10.045093536376953, 545.4480590820312, 495.81494140625]]"
78,Healthy,0.8986337184906006,"[[0.3647029995918274, 7.28537130355835, 630.3628540039062, 633.3950805664062]]"
79,Healthy,0.8440826535224915,"[[49.70289993286133, 61.76529312133789, 534.0359497070312, 581.6378784179688]]"
80,Healthy,0.9661540985107422,"[[1.9529812335968018, 1.1611039638519287, 640.0, 640.0]]"
81,Healthy,0.9385379552841187,"[[93.3849868774414, 24.974973678588867, 521.656005859375, 540.6201782226562]]"
82,Spider Mites,0.7001301646232605,"[[211.16590881347656, 8.222404479980469, 525.8101806640625, 515.5846557617188]]"
82,Spider Mites,0.633550763130188,"[[53.46051025390625, 496.9079895019531, 304.9604797363281, 621.7320556640625]]"
83,Healthy,0.8615657091140747,"[[28.2548770904541, 60.23995590209961, 587.6653442382812, 563.576171875]]"
84,Healthy,0.9262599349021912,"[[58.61098098754883, 14.423432350158691, 552.555419921875, 521.400390625]]"
85,Spider Mites,0.833206832408905,"[[123.26203155517578, 50.427547454833984, 564.9022216796875, 607.7113647460938]]"
86,Healthy,0.9187416434288025,"[[19.99251365661621, 5.804442882537842, 615.4929809570312, 612.0992431640625]]"
87,Tomato Yellow Leaf Curl Virus,0.904082179069519,"[[61.770877838134766, 26.201780319213867, 550.054443359375, 575.6835327148438]]"
88,Healthy,0.9102962017059326,"[[76.82868194580078, 3.1819241046905518, 544.1708374023438, 602.763427734375]]"
89,Healthy,0.9019976854324341,"[[92.78449249267578, 13.5593900680542, 585.111572265625, 489.5031433105469]]"
